chunk_id,section_id,chunk_text,chunk_index
91,1,Poor nutrition contributes to weakened immunity and chronic illness.,91
92,1,"Smoking damages the lungs, blood vessels, and heart.",92
93,1,Quitting smoking improves overall health and reduces disease risk over time.,93
94,1,"Stress management techniques such as exercise, sleep, and relaxation improve emotional health.",94
95,1,Chronic stress negatively affects physical and mental well-being.,95
96,1,Most people with dengue have mild or no symptoms and will get better in 1–2 weeks.,96
97,1,"Rarely, dengue can be severe and lead to death.",97
98,1,"If symptoms occur, they usually begin 4–10 days after infection and last for 2–7 days.",98
99,1,"Symptoms may include:

high fever (40°C/104°F)
severe headache
pain behind the eyes
muscle and joint pains
nausea
vomiting
swollen glands
rash.",99
100,1,Individuals who are infected for the second time are at greater risk of severe dengue.,100
101,1,"The symptoms of severe dengue often come after the fever has gone away and may include:

severe abdominal pain
persistent vomiting
rapid breathing
bleeding gums or nose 
fatigue
restlessness
blood in vomit or stool
being very thirsty
pale and cold skin
feeling weak.",101
102,1,People with these severe symptoms should seek care immediately.,102
103,1,"After recovery, people who have had dengue may experience fatigue for several weeks.",103
104,1,The mosquitoes that spread dengue are active during the day.,104
105,1,"To lower your risk of getting dengue, protect yourself from mosquito bites by using: 

clothes that cover as much of your body as possible;
mosquito nets, ideally sprayed with insect repellent, if sleeping during the day;
window screens;
mosquito repellents (containing DEET, Picaridin or IR3535); and
coils and vaporizers.",105
106,1,"To prevent mosquitoes from breeding:

implement environmental management and modification practices to stop mosquitoes from accessing egg-laying habitats;
dispose of solid waste properly and remove artificial habitats that can hold water;
cover, empty and clean domestic water storage containers on a weekly basis; and
apply appropriate insecticides to water storage outdoor containers.",106
107,1,"If you get dengue, it’s important to:

rest;
drink plenty of liquids;
use acetaminophen (paracetamol) for pain;
avoid non-steroidal anti-inflammatory medication such as ibuprofen and aspirin; and
watch for severe symptoms and contact your doctor as soon as possible if you notice any.",107
108,1,"Currently, one vaccine (QDenga) is available and licensed in some countries.",108
109,1,"However, it is recommended only for those aged 6–16 years in high transmission settings.",109
110,1,Several additional vaccines are under evaluation.,110
111,1,"The dengue virus is transmitted to humans through the bites of infected female mosquitoes, primarily the Aedes aegypti mosquito.",111
112,1,"Other species within the Aedes genus can also act as vectors, but their contribution is normally secondary to Aedes aegypti.",112
113,1,"After feeding on a DENV-infected person, the virus replicates in the mosquito midgut before disseminating to secondary tissues, including the salivary glands.",113
114,1,The time it takes from ingesting the virus to actual transmission to a new host is termed the extrinsic incubation period (EIP).,114
115,1,The EIP takes about 8–12 days when the ambient temperature is 25–28°C.,115
116,1,"Variations in the EIP are not only influenced by ambient temperature but also by several other factors – such as the magnitude of daily temperature fluctuations, the virus genotype, and the initial viral concentration – which can also alter the time it takes for a mosquito to transmit the virus.",116
117,1,"Once infectious, a mosquito can transmit the virus for the rest of its life.",117
118,1,"Human-to-mosquito transmission
Mosquitoes can become infected by people who are viremic with DENV.",118
119,1,"This can be someone who has a symptomatic dengue infection, someone who is yet to have a symptomatic infection (those who are pre-symptomatic), and also someone who shows no signs of illness (those who are asymptomatic).",119
120,1,"Human-to-mosquito transmission can occur up to 2 days before someone shows symptoms of the illness, and up to 2 days after the fever has resolved.",120
121,1,"The risk of mosquito infection is positively associated with high viremia and high fever in the patient; conversely, high levels of DENV-specific antibodies are associated with a decreased risk of mosquito infection.",121
122,1,"Most people are viremic for about 4–5 days, but viremia can last as long as 12 days.",122
123,1,"Maternal transmission
The primary mode of transmission of the DENV between humans involves mosquito vectors.",123
124,1,"There is evidence, however, of the possibility of maternal transmission (i.",124
125,1,from a pregnant mother to her baby).,125
126,1,"At the same time, vertical transmission rates appear low, with the risk of vertical transmission seemingly linked to the timing of acquiring the dengue infection during pregnancy.",126
127,1,"When a mother does have a dengue infection when she is pregnant, babies may suffer from pre-term birth, low birthweight and fetal distress.",127
128,1,"Other transmission modes
Rare cases of transmission via blood products, organ donation and transfusions have been recorded.",128
129,1,"Similarly, transovarial transmission of the virus within mosquitoes has also been recorded.",129
130,1,"Laboratory-based and point of care diagnostics are critical to control and manage dengue, yet global disparities in laboratory capabilities present significant challenges.",130
131,1,"The diagnostic algorithms, testing strategies and test methodologies employed vary, depending on the capabilities of national laboratory systems.",131
132,1,"The wide range of available tests – including nucleic acid amplification tests (NAATs), enzyme-linked immunosorbent assays (ELISAs) and rapid diagnostic tests (RDTs) –  vary significantly in quality and performance.",132
133,1,"Laboratory testing for arboviruses can be accomplished through either direct detection methods such as virus isolation, molecular detection of nucleic acid or antigen testing, including rapid diagnostic tests (RDTs) within the first week of illness.",133
134,1,"There is no specific treatment for dengue, although pain can be managed with medication such as paracetamol (acetaminophen).",134
135,1,Non-steroidal anti-inflammatory medicines such as ibuprofen and aspirin should be avoided as they can increase the risk of bleeding.,135
136,1,"For people with severe dengue, hospitalization is often necessary.",136
137,1,"The most common early symptoms of malaria are fever, headache and chills.",137
138,1,Symptoms usually start within 10–15 days of getting bitten by an infected mosquito.,138
139,1,"Symptoms may be mild for some people, especially for those who have had a malaria infection before.",139
140,1,"Because some malaria symptoms are not specific, getting tested early is important.",140
141,1,Some types of malaria can cause severe illness and death.,141
142,1,"Infants, children under 5 years, pregnant women, travellers and people with HIV or AIDS are at higher risk.",142
143,1,"Severe symptoms include:

extreme tiredness and fatigue 
impaired consciousness
multiple convulsions
difficulty breathing
dark or bloody urine
jaundice (yellowing of the eyes and skin) 
abnormal bleeding.",143
144,1,People with severe symptoms should get emergency care right away.,144
145,1,Getting treatment early for mild malaria can stop the infection from becoming severe.,145
146,1,Malaria infection during pregnancy can also cause premature delivery or delivery of a baby with low birth weight.,146
147,1,Malaria can be prevented by avoiding mosquito bites and by taking medicines.,147
148,1,Talk to a doctor about taking medicines such as chemoprophylaxis before travelling to areas where malaria is common.,148
149,1,"Lower the risk of getting malaria by avoiding mosquito bites:  

Use mosquito nets when sleeping in places where malaria is present.",149
150,1,"Use mosquito repellents (containing DEET, IR3535 or Icaridin) after dusk.",150
151,1,Use coils and vaporizers.,151
152,1,Wear protective clothing.,152
153,1,"Vector control
Vector control is a vital component of malaria control and elimination strategies as it is highly effective in preventing infection and reducing disease transmission.",153
154,1,The 2 core interventions are insecticide-treated nets (ITNs) and indoor residual spraying (IRS).,154
155,1,Progress in global malaria control is threatened by emerging resistance to insecticides among Anopheles mosquitoes.,155
156,1,"However, new generation nets, which provide better protection against malaria than pyrethroid-only nets, are becoming more widely available and represent an important tool in global efforts to combat malaria.",156
157,1,Anopheles stephensi presents an added challenge for malaria control in Africa.,157
158,1,"Originally native to parts of south Asia and the Arabian Peninsula, the invasive mosquito species has been expanding its range over the last decade, with detections reported to date in eight African countries.",158
159,1,"stephensi thrives in urban settings, endures high temperatures and is resistant to many of the insecticides used in public health.",159
160,1,"Chemoprophylaxis
Travellers to malaria endemic areas should consult their doctor several weeks before departure.",160
161,1,The medical professional will determine which chemoprophylaxis drugs are appropriate for the country of destination.,161
162,1,"In some cases, chemoprophylaxis drugs must be started 2–3 weeks before departure.",162
163,1,All prophylactic drugs should be taken on schedule for the duration of the stay in the malaria risk area and should be continued for 4 weeks after the last possible exposure to infection since parasites may still emerge from the liver during this period.,163
164,1,"Preventive chemotherapies
Preventive chemotherapy is the use of medicines, either alone or in combination, to prevent malaria infections and their consequences.",164
165,1,"It requires giving a full treatment course of an antimalarial medicine to vulnerable populations at designated time points during the period of greatest malarial risk, regardless of whether the recipients are infected with malaria.",165
166,1,"Preventive chemotherapy includes perennial malaria chemoprevention (PMC), seasonal malaria chemoprevention (SMC), intermittent preventive treatment of malaria in pregnancy (IPTp) and school-aged children (IPTsc), post-discharge malaria chemoprevention (PDMC) and mass drug administration (MDA).",166
167,1,"These safe and cost-effective strategies are intended to complement ongoing malaria control activities, including vector control measures, prompt diagnosis of suspected malaria, and treatment of confirmed cases with antimalarial medicines.",167
168,1,"Vaccine
Since October 2021, WHO has recommended broad use of the RTS,S/AS01 malaria vaccine among children living in regions with moderate to high P.",168
169,1,falciparum malaria transmission.,169
170,1,"The vaccine has been shown to significantly reduce malaria, and deadly severe malaria, among young children.",170
171,1,"In October 2023, WHO recommended a second safe and effective malaria vaccine, R21/Matrix-M.",171
172,1,Vaccines are now being rolled out in routine childhood immunization programmes across Africa.,172
173,1,Malaria vaccines in Africa are expected to save tens of thousands of young lives every year.,173
174,1,"The highest impact will be achieved, however, when the vaccines are introduced alongside a mix of other WHO-recommended malaria interventions such as bed nets and chemoprophylaxis.",174
175,1,Hypertension (high blood pressure) is when the pressure in your blood vessels is too high (140/90 mmHg or higher).,175
176,1,It is common but can be serious if not treated.,176
177,1,People with high blood pressure may not feel symptoms.,177
178,1,The only way to know is to get your blood pressure checked.,178
179,1,"Things that increase the risk of having high blood pressure include:

older age 
genetics
being overweight or obese
not being physically active 
high-salt diet
drinking too much alcohol
Lifestyle changes like eating a healthier diet, quitting tobacco and being more active can help lower blood pressure.",179
180,1,Some people may still need to take medicines.,180
181,1,Blood pressure is written as two numbers.,181
182,1,The first (systolic) number represents the pressure in blood vessels when the heart contracts or beats.,182
183,1,The second (diastolic) number represents the pressure in the vessels when the heart rests between beats.,183
184,1,"Hypertension is diagnosed if, when it is measured on two different days, the systolic blood pressure readings on both days is ≥140 mmHg and/or the diastolic blood pressure readings on both days is ≥90 mmHg.",184
185,1,"Risk factors
Modifiable risk factors include unhealthy diets (excessive salt consumption, a diet high in saturated fat and trans fats, low intake of fruits and vegetables), physical inactivity, consumption of tobacco and alcohol, and being overweight or obese.",185
186,1,"In addition, there are environmental risk factors for hypertension and associated diseases, where air pollution is the most significant.",186
187,1,"Non-modifiable risk factors include a family history of hypertension, age over 65 years and co-existing diseases such as diabetes or kidney disease.",187
188,1,"Symptoms
Most people with hypertension don’t feel any symptoms.",188
189,1,"Very high blood pressures can cause headaches, blurred vision, chest pain and other symptoms.",189
190,1,Checking your blood pressure is the best way to know if you have high blood pressure.,190
191,1,"If hypertension isn’t treated, it can cause other health conditions like kidney disease, heart disease and stroke.",191
192,1,"People with very high blood pressure (usually 180/120 or higher) can experience symptoms including:

severe headaches
chest pain
dizziness
difficulty breathing
nausea
vomiting
blurred vision or other vision changes
anxiety
confusion
buzzing in the ears
nosebleeds
abnormal heart rhythm
If you are experiencing any of these symptoms and a high blood pressure, seek care immediately.",192
193,1,The only way to detect hypertension is to have a health professional measure blood pressure.,193
194,1,Having blood pressure measured is quick and painless.,194
195,1,"Although individuals can measure their own blood pressure using automated devices, an evaluation by a health professional is important for assessment of risk and associated conditions.",195
196,1,"Treatment
Lifestyle changes can help lower high blood pressure.",196
197,1,"These include:

eating a healthy, low-salt diet
losing weight
being physically active
quitting tobacco.",197
198,1,"If you have high blood pressure, your doctor may recommend one or more medicines.",198
199,1,Your recommended blood pressure goal may depend on what other health conditions you have.,199
200,1,"Blood pressure goal is less than 130/80 if you have:

cardiovascular disease (heart disease or stroke)
diabetes (high blood sugar)
chronic kidney disease
high risk for cardiovascular disease.",200
201,1,"For most people, the goal is to have a blood pressure less than 140/90.",201
202,1,"There are several common blood pressure medicines: 

ACE inhibitors including enalapril and lisinopril relax blood vessels and prevent kidney damage.",202
203,1,Angiotensin-2 receptor blockers (ARBs) including losartan and telmisartan relax blood vessels and prevent kidney damage.,203
204,1,Calcium channel blockers including amlodipine and felodipine relax blood vessels.,204
205,1,"Diuretics including hydrochlorothiazide and chlorthalidone eliminate extra water from the body, lowering blood pressure.",205
206,1,"Prevention
Lifestyle changes can help lower high blood pressure and can help anyone with hypertension.",206
207,1,Many who make these changes will still need to take medicine.,207
208,1,These lifestyle changes can help prevent and lower high blood pressure.,208
209,1,"Do:

Eat more vegetables and fruits.",209
210,1,"Be more physically active, which can include walking, running, swimming, dancing or activities that build strength, like lifting weights.",210
211,1,Get at least 150 minutes per week of moderate-intensity aerobic activity or 75 minutes per week of vigorous aerobic activity.,211
212,1,Do strength building exercises 2 or more days each week.,212
213,1,Lose weight if you’re overweight or obese.,213
214,1,Take medicines as prescribed by your health care professional.,214
215,1,Keep appointments with your health care professional.,215
216,1,"Don’t:

eat too much salty food (try to stay under 2 grams per day)
eat foods high in saturated or trans fats
smoke or use tobacco
drink too much alcohol (1 drink daily max for women, 2 for men)
miss or share medication.",216
217,1,"Reducing hypertension prevents heart attack, stroke and kidney damage, as well as other health problems.",217
218,1,"Reduce the risks of hypertension by:

reducing and managing stress
regularly checking blood pressure
treating high blood pressure
managing other medical conditions
reducing exposure to polluted air.",218
219,1,"Complications of uncontrolled hypertension
Among other complications, hypertension can cause serious damage to the heart.",219
220,1,"Excessive pressure can harden arteries, decreasing the flow of blood and oxygen to the heart.",220
221,1,"This elevated pressure and reduced blood flow can cause:

chest pain, also called angina;
heart attack, which occurs when the blood supply to the heart is blocked and heart muscle cells die from lack of oxygen.",221
222,1,"The longer the blood flow is blocked, the greater the damage to the heart;
heart failure, which occurs when the heart cannot pump enough blood and oxygen to other vital body organs; and
irregular heart beat which can lead to a sudden death.",222
223,1,"Hypertension can also burst or block arteries that supply blood and oxygen to the brain, causing a stroke.",223
224,1,"In addition, hypertension can cause kidney damage, leading to kidney failure.",224
225,1,"Prevalence of hypertension
The prevalence of hypertension varies across regions and country income groups.",225
226,1,The WHO Eastern Mediterranean Region has the highest prevalence of hypertension (38%) while the WHO Western Pacific Region has the lowest prevalence of hypertension (29%).,226
227,1,The number of adults with hypertension increased from 650 million in 1990 to 1.,227
228,1,"4 billion in 2024, with the increase seen largely in low- and middle-income countries.",228
229,1,This increase is due mainly to a rise in the number of older adults in those countries.,229
230,1,Overweight and obesity result from an imbalance of energy intake (diet) and energy expenditure (physical activity).,230
231,1,In most cases obesity is a multifactorial disease due to environmental and psycho-social factors and genetic variants.,231
232,1,"In a subgroup of patients, single major etiological factors can be identified (e.",232
233,1,"medications, diseases, immobilization, iatrogenic procedures, and monogenic disease/genetic syndrome).",233
234,1,Key environmental factors affecting the prevalence of overweight and obesity are those that limit the availability of healthy and sustainably-produced food at locally affordable prices spaces for physical activity and the absence of adequate legal and regulatory environments.,234
235,1,A further factor is the lack of an effective health system response to identify excess weight gain and fat deposition at an early stage.,235
236,1,"Common health consequences
The health risks caused by overweight and obesity are increasingly well documented and understood.",236
237,1,"In 2021, higher-than-optimal BMI caused an estimated 3.",237
238,1,"7 million deaths from noncommunicable diseases (NCDs) such as cardiovascular diseases, diabetes, cancers, neurological disorders, chronic respiratory diseases, and digestive disorders (3).",238
239,1,"Being overweight in childhood and adolescence affects children’s and adolescents’ health and is associated with greater risk and earlier onset of various NCDs, such as type 2 diabetes and cardiovascular disease.",239
240,1,"Childhood and adolescent obesity have adverse psychosocial consequences; they affects school performance and quality of life, compounded by stigma, discrimination and bullying.",240
241,1,Children with obesity are very likely to become adults with obesity and are also at a higher risk of developing NCDs in adulthood.,241
242,1,The economic impacts of the obesity epidemic are also important.,242
243,1,"If nothing is done, the global costs of overweight and obesity are predicted to reach US$ 3 trillion per year by 2030 and more than US$ 18 trillion by 2060 (4).",243
244,1,"Finally, the rise in obesity rates in low-and middle-income countries, including among lower socio-economic groups, is fast globalizing a problem that was once associated only with high-income countries.",244
245,1,"Facing a double burden of malnutrition
Many low- and middle-income countries face a so-called double burden of malnutrition.",245
246,1,"While these countries continue to deal with the problems of infectious diseases and undernutrition, they are also experiencing a rapid upsurge in noncommunicable disease risk factors such as obesity and overweight.",246
247,1,"It is common to find undernutrition and obesity co-existing within the same country, the same community and the same household.",247
248,1,"Children in low- and middle-income countries are more vulnerable to inadequate pre-natal, infant, and young child nutrition.",248
249,1,"At the same time, these children are exposed to high-fat, high-sugar, high-salt, energy-dense, and micronutrient-poor foods, which tend to be lower in cost but also lower in nutrient quality.",249
250,1,"These dietary patterns, in conjunction with lower levels of physical activity, result in sharp increases in childhood obesity while undernutrition issues remain unsolved.",250
251,1,"Prevention and management
Overweight and obesity, as well as their related noncommunicable diseases, are largely preventable and manageable.",251
252,1,"At the individual level, people may be able to reduce their risk by adopting preventive interventions at each step of the life cycle, starting from pre-conception and continuing during the early years.",252
253,1,"These include:

ensure appropriate weight gain during pregnancy;
practice exclusive breastfeeding in the first 6 months after birth and continued breastfeeding until 24 months or beyond;
support behaviours of children around healthy eating, physical activity, sedentary behaviours and sleep, regardless of current weight status;
limit screen time;
limit consumption of sugar sweetened beverages and energy-dense foods and promote other healthy eating behaviours;
enjoy a healthy life (healthy diet, physical activity, sleep duration and quality, avoid tobacco and alcohol, emotional self-regulation);
limit energy intake from total fats and sugars and increase consumption of fruit and vegetables, as well as legumes, whole grains and nuts; and
engage in regular physical activity.",253
254,1,"Health practitioners need to:

assess the weight and height of people accessing health facilities;
provide counselling on healthy diet and lifestyles;
when a diagnosis of obesity is established, advise on management of the disorder, including through healthy diet and regular physical activity, and explain and offer, as appropriate, available therapeutic and surgical measures; and
monitor other NCD risk factors (blood glucose, lipids and blood pressure) and assess the presence of comorbidities and disability, including mental health disorders.",254
255,1,Dietary and physical activity patterns are largely the result of environmental and societal conditions that greatly constrain personal choice.,255
256,1,"Obesity is a societal rather than an individual responsibility, with the solutions to be found through the creation of supportive environments and communities that embed healthy diets and regular physical activity as the most accessible, available and affordable behaviours of daily life.",256
257,1,"Stopping the rise in obesity demands multisectoral actions in areas such as food manufacturing, marketing and pricing and others that seek to address the wider determinants of health (such as poverty reduction and urban planning).",257
258,1,"Such policies and actions include:

structural, fiscal and regulatory actions aimed at creating healthy food environments that make healthier food options available, accessible and desirable; and
health sector responses designed and equipped to identify risk, prevent, treat and manage the disease.",258
259,1,These actions need to build upon and be integrated into broader efforts to address NCDs and strengthen health systems through a primary health care approach.,259
260,1,"The food industry can play a significant role in promoting healthy diets by:

reducing the fat, sugar and salt content of processed foods;
ensuring that healthy and nutritious choices are available and affordable to all consumers;
restricting marketing of foods high in sugars, salt and fats, especially those foods aimed at children and teenagers; and
ensuring the availability of healthy food choices and supporting regular physical activity practice in the workplace.",260
261,1,"A mental disorder is characterized by a clinically significant disturbance in an individual’s cognition, emotional regulation, or behaviour.",261
262,1,It is usually associated with distress or impairment in important areas of functioning.,262
263,1,There are many different types of mental disorders.,263
264,1,Mental disorders may also be referred to as mental health conditions.,264
265,1,"The latter is a broader term covering mental disorders, psychosocial disabilities and (other) mental states associated with significant distress, impairment in functioning, or risk of self-harm.",265
266,1,This fact sheet focuses on mental disorders as described by the International Classification of Diseases 11th Revision (ICD-11).,266
267,1,"In 2021, nearly 1 in every 7 people (1.",267
268,1,"1 billion) around the world were living with a mental disorder, with anxiety and depressive disorders the most common (1).",268
269,1,"While effective prevention and treatment options exist, most people with mental disorders do not have access to effective care.",269
270,1,"Many people also experience stigma, discrimination and violations of human rights.",270
271,1,"Anxiety disorders
In 2021, 359 million people were living with an anxiety disorder including 72 million children and adolescents (1).",271
272,1,Anxiety disorders are characterised by excessive fear and worry and related behavioural disturbances.,272
273,1,Symptoms are severe enough to result in significant distress or significant impairment in functioning.,273
274,1,"There are several different kinds of anxiety disorders, such as: generalized anxiety disorder (characterised by excessive worry), panic disorder (characterised by panic attacks), social anxiety disorder (characterised by excessive fear and worry in social situations), separation anxiety disorder (characterised by excessive fear or anxiety about separation from those individuals to whom the person has a deep emotional bond), and others.",274
275,1,"Effective psychological treatment exists, and depending on the age and severity, medication may also be considered.",275
276,1,"Depression
In 2019, 280 million people were living with depression, including 23 million children and adolescents (1).",276
277,1,Depression is different from usual mood fluctuations and short-lived emotional responses to challenges in everyday life.,277
278,1,"During a depressive episode, the person experiences depressed mood (feeling sad, irritable, empty) or a loss of pleasure or interest in activities, for most of the day, nearly every day, for at least two weeks.",278
279,1,"Several other symptoms are also present, which may include poor concentration, feelings of excessive guilt or low self-worth, hopelessness about the future, thoughts about dying or suicide, disrupted sleep, changes in appetite or weight, and feeling especially tired or low in energy.",279
280,1,People with depression are at an increased risk of suicide.,280
281,1,"Yet, effective psychological treatment exists, and depending on the age and severity, medication may also be considered.",281
282,1,"Bipolar disorder
In 2021, 37 million people experienced bipolar disorder, including 3.",282
283,1,8 milion adolescents aged 10–19 years (1).,283
284,1,People with bipolar disorder experience alternating depressive episodes with periods of manic symptoms.,284
285,1,"During a depressive episode, the person experiences depressed mood (feeling sad, irritable, empty) or a loss of pleasure or interest in activities, for most of the day, nearly every day.",285
286,1,"Manic symptoms may include euphoria or irritability, increased activity or energy, and other symptoms such as increased talkativeness, racing thoughts, increased self-esteem, decreased need for sleep, distractibility, and impulsive reckless behaviour.",286
287,1,People with bipolar disorder are at an increased risk of suicide.,287
288,1,"Yet effective treatment options exist including psychoeducation, reduction of stress and strengthening of social functioning, and medication.",288
289,1,"Post-Traumatic Stress Disorder (PTSD)
PTSD may develop following exposure to an extremely threatening or horrific event or series of events.",289
290,1,"It is characterised by all of the following: 1) re-experiencing the traumatic event or events in the present (intrusive memories, flashbacks, or nightmares); 2) avoidance of thoughts and memories of the event(s), or avoidance of activities, situations, or people reminiscent of the event(s); and 3) persistent perceptions of heightened current threat.",290
291,1,These symptoms persist for at least several weeks and cause significant impairment in functioning.,291
292,1,Effective psychological treatment exists.,292
293,1,"Schizophrenia
Schizophrenia affects approximately 23 million people or 1 in 345 people worldwide (1).",293
294,1,People with schizophrenia have a life expectancy nine years below that of the general population (2).,294
295,1,Schizophrenia is characterised by significant impairments in perception and changes in behaviour.,295
296,1,"Symptoms may include persistent delusions, hallucinations, disorganised thinking, highly disorganised behaviour, or extreme agitation.",296
297,1,People with schizophrenia may experience persistent difficulties with their cognitive functioning.,297
298,1,"Yet, a range of effective treatment options exist, including medication, psychoeducation, family interventions, and psychosocial rehabilitation.",298
299,1,"Eating disorders
In 2021, 16 million people experienced eating disorders including almost 3.",299
300,1,4 million children and adolescents (1).,300
301,1,"Eating disorders, such as anorexia nervosa and bulimia nervosa, involve abnormal eating and preoccupation with food as well as prominent body weight and shape concerns.",301
302,1,"The symptoms or behaviours result in significant risk or damage to health, significant distress, or significant impairment of functioning.",302
303,1,Anorexia nervosa often has its onset during adolescence or early adulthood and is associated with premature death due to medical complications or suicide.,303
304,1,"Individuals with bulimia nervosa are at a significantly increased risk for substance use, suicidality, and health complications.",304
305,1,"Effective treatment options exist, including family-based treatment and cognitive-based therapy.",305
